N00042268,TX
N00042282,TX
N00000286,UT
N00025292,UT
N00031696,UT
N00033932,UT
N00041221,UT
N00042013,UT
N00002097,VA
N00002147,VA
N00002299,VA
N00002577,VA
N00029459,VA
N00029891,VA
N00032029,VA
N00033177,VA
N00036018,VA
N00039327,VA
N00041002,VA
N00041418,VA
N00042293,VA
N00042296,VA
N00043541,VA
N00035000,VI
N00000515,VT
N00000528,VT
N00009918,VT
N00007833,WA
N00007836,WA
N00007876,WA
N00009759,WA
N00026314,WA
N00030693,WA
N00031557,WA
N00031559,WA
N00034453,WA
N00036403,WA
N00038858,WA
N00041606,WA
N00004291,WI
N00004367,WI
N00004403,WI
N00026914,WI
N00030967,WI
N00032546,WI
N00033549,WI
N00036409,WI
N00039330,WI
N00043379,WI
N00045307,WI
N00009771,WV
N00031681,WV
N00032838,WV
N00033814,WV
N00041542,WV
N00006236,WY
N00006249,WY
N00035504,WY
