Symbol,Market_Cap,Orgname,State,contrib_id,candi_id
WFC,1.62E+11,Wells Fargo,California,Wells%20Fargo--N00008046,N00008046
WFC^A,0,Wells Fargo,None,Wells%20Fargo--N00008046,N00008046
WFC^C,0,Wells Fargo,None,Wells%20Fargo--N00008046,N00008046
WFC^L,0,Wells Fargo,None,Wells%20Fargo--N00008046,N00008046
WFC^N,0,Wells Fargo,None,Wells%20Fargo--N00008046,N00008046
WFC^O,0,Wells Fargo,None,Wells%20Fargo--N00008046,N00008046
WFC^Q,0,Wells Fargo,None,Wells%20Fargo--N00008046,N00008046
WFC^R,0,Wells Fargo,None,Wells%20Fargo--N00008046,N00008046
WFC^X,0,Wells Fargo,None,Wells%20Fargo--N00008046,N00008046
WFC^Y,0,Wells Fargo,None,Wells%20Fargo--N00008046,N00008046
WFC^Z,0,Wells Fargo,None,Wells%20Fargo--N00008046,N00008046
WHR,13323882411,Whirlpool Corp,Michigan,Whirlpool%20Corp--N00004118,N00004118
WM,51112644589,Waste Management Inc,Texas,Waste%20Management%20Inc--N00043379,N00043379
WMB,28220626591,Williams Companies,Oklahoma,Williams%20Companies--N00005582,N00005582
WMT,3.75E+11,Walmart Inc,Arkansas,Walmart%20Inc--N00009660,N00009660
WY,26336388960,Weyerhaeuser Co,Washington,Weyerhaeuser%20Co--N00030071,N00030071
XOM,2.49E+11,Exxon Mobil,Texas,Exxon%20Mobil--N00006249,N00006249
ZION,9246895971,Zions Bancorp,Utah,Zions%20Bancorp--N00042013,N00042013
ZIONL,0,Zions Bancorp,Utah,Zions%20Bancorp--N00042013,N00042013
ZIONN,0,Zions Bancorp,Utah,Zions%20Bancorp--N00042013,N00042013
ZIONO,0,Zions Bancorp,Utah,Zions%20Bancorp--N00042013,N00042013
ZIONP,0,Zions Bancorp,Utah,Zions%20Bancorp--N00042013,N00042013
